id_zbirka;zbirka
1;NE VEM
3;ABC
13;BISERI UMETNOSTI
16;ČKZ
18;CPP
23;FAVOURITE TALES
27;GUINNESS WORLD RECORDS
29;KROŽNIK OKUSOV
31;LIKOVNA PRIČEVANJA
37;LJUDSTVA SVETA
40;MALA SPLOŠNA ENCIKLOPEDIJA
46;MALA STOR
48;MATEMATIKA
50;MATEMATIKA=ZABAVA
52;MOJE VRTNE RASTLINE
53;NEBESNA ZNAMENJA
89;NOBELOVCI
90;NOSTALGIJA
97;NOVA OBZORJA
99;ODABERI SVOJU PUSTOLOVINU
100;POMOČ IZ
102;PREPOROSTE TEHNIKE
109;PREŠERNOVA DRUŽBA
110;SVETOVNA
113;TINTIN
116;UMETNOST V SLIKAH
120;V SVETU CANKARJEVE DRAMATIKE
137;VELIKA STOR
145;VRHUNCI STOLETJA
160;ZAKLADNICA USPEŠNIC
